Date,BGT,Broad,Elliot,Fremont,MTS,NW58,Second,Spokane,Thirty,TwoSix,Friday,Monday,Saturday,Sunday,Sunlight,Thursday,Tuesday,Wednesday,isMay,TempHi,TempAvg,TempLow,DewHigh,DewAvg,DewLow,HumidHi,HumidAvg,HumidLow,PressHigh,PressAvg,PressLow,VisHigh,VisAvg,VisLow,WindAvg,WindLow,WindHigh,Precip,Events
2012-10-03,1412.2383808144982,397.41047986774265,1450.2096468605969,3521.0,826.11216042671,321.8245835096505,864.0172499417479,1023.5492645693029,284.68059467862184,274.22865185289794,False,False,False,False,11.277359236496743,False,False,True,False,66,55,46,42,37,32,77,52,29,30.39,30.33,30.28,10,10,10,10,3,17,0.0,
2012-10-04,1393.788234402266,392.21852244828335,1431.2634259700578,3475.0,815.3194426250545,317.6201157898425,852.7293222231111,1010.1771355803257,280.9613934984978,270.6459997696166,False,False,False,False,11.219141593709244,True,False,False,False,64,56,48,41,39,34,74,54,35,30.3,30.27,30.24,10,10,10,10,4,16,0.0,
2012-10-05,1262.6317588196648,355.31047731430095,1296.5805079003576,3148.0,738.5972965132868,287.73183439033795,772.4868795275837,915.1187403760765,254.52272423979028,245.17801648194342,True,False,False,False,11.161037510141552,False,False,False,False,70,58,48,43,37,33,80,52,27,30.3,30.25,30.2,10,10,10,13,2,16,0.0,
2012-10-06,804.5868196290492,226.41449094424644,826.2199805743703,2006.0,470.6563458721898,183.35135317249618,492.2518044257728,583.141103301909,162.1895123332335,156.23478432743917,False,False,True,False,11.103056478579854,False,False,False,False,71,58,44,42,36,26,82,49,19,30.24,30.18,30.11,10,10,10,9,2,16,0.0,
2012-10-07,859.1350785869512,241.7646259235174,882.2348945116154,2142.0,502.565250677084,195.78195338758064,525.6248081156557,622.6760933562756,173.1854114744697,166.82697309540112,False,False,False,True,11.045208198323838,False,False,False,False,72,58,46,44,42,38,83,59,31,30.1,30.02,29.93,10,10,10,8,1,0,0.0,
2012-10-08,1418.65582304484,399.2163781005981,1456.799636735567,3537.0,829.8661492272857,323.2870070643663,867.9434856699694,1028.2004398698166,285.97422987170836,275.47479170795236,False,True,False,False,10.987502588667516,False,False,False,False,71,56,42,47,43,39,89,63,35,30.05,29.96,29.93,10,10,10,7,3,0,0.0,
2012-10-09,1404.216578026571,395.1531070766734,1441.972159516884,3501.0,821.4196744259903,319.9965540662558,859.1094552814709,1017.7352954436606,283.0635506872635,272.67097703407995,False,False,False,False,10.92994980215938,False,True,False,False,60,54,50,48,47,46,89,78,62,30.14,30.08,30.04,10,9,6,9,5,21,0.0,
2012-10-10,1297.5266009471459,365.1300489554523,1332.4135778455068,3235.0,759.0096106164177,295.68376246910526,793.8357862997882,940.4095060726199,261.5568656021986,251.95390194380136,False,False,False,False,10.872560237618181,False,False,True,False,55,52,48,48,47,46,93,84,74,30.05,30.02,29.99,10,5,2,6,1,0,0.0,
2012-10-11,1222.1216547406348,343.9107447194012,1254.981196814609,3047.0,714.9002422096521,278.5002857011943,747.7025164931854,885.7581962915837,246.35665208343102,237.31175864691278,False,False,False,False,10.815344552878953,True,False,False,False,55,52,46,46,46,44,90,81,69,30.0,29.92,29.81,10,7,5,7,1,0,0.0,
2012-10-12,806.5922703260311,226.97883414201374,828.2793524102982,2011.0,471.8294673723698,183.80836053334482,493.4787530908421,584.5945955833196,162.5937733310731,156.6242030321436,True,False,False,False,10.758313677241965,False,False,False,False,57,52,46,51,48,45,94,85,72,29.99,29.9,29.83,10,7,2,13,7,21,0.09,Rain
2012-10-13,307.23504677759325,86.45737789795253,315.49576526419116,766.0,179.722213827566,70.01352768201996,187.96853548860517,222.67501751209488,61.93278486902139,59.65894556072701,False,False,True,False,10.701478823595536,False,False,False,False,62,58,55,57,54,50,94,86,78,30.14,30.1,30.02,10,10,4,16,9,23,0.09,Rain
2012-10-14,279.9609172986423,78.78231040831707,287.48830829556846,698.0,163.76776142511886,63.79822757447773,171.28203364366374,202.9075224849115,56.4348352984033,54.36285117674603,False,False,False,True,10.644851500181554,False,False,False,False,64,60,57,59,57,55,96,89,73,30.11,29.96,29.88,10,7,2,12,6,16,0.52,Rain
