Date,BGT,Broad,Elliot,Fremont,MTS,NW58,Second,Spokane,Thirty,TwoSix
2012-10-03,,,,3521.0,,,,,,
2012-10-04,,,,3475.0,,,,,,
2012-10-05,,,,3148.0,,,,,,
2012-10-06,,,,2006.0,,,,,,
2012-10-07,,,,2142.0,,,,,,
2012-10-08,,,,3537.0,,,,,,
2012-10-09,,,,3501.0,,,,,,
2012-10-10,,,,3235.0,,,,,,
2012-10-11,,,,3047.0,,,,,,
2012-10-12,,,,2011.0,,,,,,
2012-10-13,,,,766.0,,,,,,
2012-10-14,,,,698.0,,,,,,
2012-10-15,,,,2273.0,,,,,,
2012-10-16,,,,3036.0,,,,,,
2012-10-17,,,,3243.0,,,,,,
2012-10-18,,,,2923.0,,,,,,
2012-10-19,,,,1977.0,,,,,,
2012-10-20,,,,1068.0,,,,,,
2012-10-21,,,,989.0,,,,,,
2012-10-22,,,,2129.0,,,,,,
2012-10-23,,,,2500.0,,,,,,
2012-10-24,,,,2429.0,,,,,,
2012-10-25,,,,2713.0,,,,,,
2012-10-26,,,,2073.0,,,,,,
2012-10-27,,,,531.0,,,,,,
2012-10-28,,,,1062.0,,,,,,
2012-10-29,,,,2217.0,,,,,,
2012-10-30,,,,1735.0,,,,,,
2012-10-31,,,,1710.0,,,,,,
2012-11-01,,,,2091.0,,,,,,
2012-11-02,,,,2478.0,,,,,,
2012-11-03,,,,952.0,,,,,,
2012-11-04,,,,1011.0,,,,,,
2012-11-05,,,,2810.0,,,,,,
2012-11-06,,,,2493.0,,,,,,
2012-11-07,,,,2719.0,,,,,,
2012-11-08,,,,2691.0,,,,,,
2012-11-09,,,,2406.0,,,,,,
2012-11-10,,,,1269.0,,,,,,
2012-11-11,,,,628.0,,,,,,
2012-11-12,,,,1631.0,,,,,,
2012-11-13,,,,2087.0,,,,,,
2012-11-14,,,,2600.0,,,,,,
2012-11-15,,,,2520.0,,,,,,
2012-11-16,,,,2006.0,,,,,,
2012-11-17,,,,640.0,,,,,,
2012-11-18,,,,392.0,,,,,,
2012-11-19,,,,967.0,,,,,,
2012-11-20,,,,1741.0,,,,,,
2012-11-21,,,,1370.0,,,,,,
2012-11-22,,,,554.0,,,,,,
2012-11-23,,,,355.0,,,,,,
2012-11-24,,,,845.0,,,,,,
2012-11-25,,,,1018.0,,,,,,
2012-11-26,,,,2358.0,,,,,,
2012-11-27,,,,2547.0,,,,,,
2012-11-28,,,,2034.0,,,,,,
2012-11-29,,,,1844.0,,,,,,
2012-11-30,,,,1590.0,,,,,,
2012-12-01,,,,634.0,,,,,,
2012-12-02,,,,527.0,,,,,,
2012-12-03,,,,1868.0,,,,,,
2012-12-04,,,,2011.0,,,,,,
2012-12-05,,,,2300.0,,,,,,
2012-12-06,,,,1879.0,,,,,,
2012-12-07,,,,1816.0,,,,,,
2012-12-08,,,,874.0,,,,,,
2012-12-09,,,,422.0,,,,,,
2012-12-10,,,,2162.0,,,,,,
2012-12-11,,,,1945.0,,,,,,
2012-12-12,,,,1848.0,,,,,,
2012-12-13,,,,2013.0,,,,,,
2012-12-14,,,,1709.0,,,,,,
2012-12-15,,,,463.0,,,,,,
2012-12-16,,,,351.0,,,,,,
2012-12-17,,,,1492.0,,,,,,
2012-12-18,,,,1702.0,,,,,,
2012-12-19,,,,1020.0,,,,,,
2012-12-20,,,,1077.0,,,,,,
2012-12-21,,,,1232.0,,,,,,
2012-12-22,,,,493.0,,,,,,
2012-12-23,,,,441.0,,,,,,
2012-12-24,,,,574.0,,,,,,
2012-12-25,,,,98.0,,,,,,
2012-12-26,,,,845.0,,,,,,
2012-12-27,,,,1148.0,,,,,,
2012-12-28,,,,1257.0,,,,,,
2012-12-29,,,,487.0,,,,,,
2012-12-30,,,,695.0,,,,,,
2012-12-31,,,,986.0,,,,,,
2013-01-01,,,,678.0,,,,,,
2013-01-02,,,,1835.0,,,,,,
2013-01-03,,,,1803.0,,,,,,
2013-01-04,,,,1712.0,,,,,,
2013-01-05,,,,719.0,,,,,,
2013-01-06,,,,706.0,,,,,,
2013-01-07,,,,1893.0,,,,,,
2013-01-08,,,,1578.0,,,,,,
2013-01-09,,,,1347.0,,,,,,
2013-01-10,,,,1810.0,,,,,,
2013-01-11,,,,1570.0,,,,,,
2013-01-12,,,,677.0,,,,,,
2013-01-13,,,,559.0,,,,,,
2013-01-14,,,,1869.0,,,,,,
2013-01-15,,,,2066.0,,,,,,
2013-01-16,,,,1950.0,,,,,,
2013-01-17,,,,1777.0,,,,,,
2013-01-18,,,,1585.0,,,,,,
2013-01-19,,,,760.0,,,,,,
2013-01-20,,,,801.0,,,,,,
2013-01-21,,,,1276.0,,,,,,
2013-01-22,,,,1965.0,,,,,,
2013-01-23,,,,1767.0,,,,,,
2013-01-24,,,,1955.0,,,,,,
2013-01-25,,,,1861.0,,,,,,
2013-01-26,,,,544.0,,,,,,
2013-01-27,,,,643.0,,,,,,
2013-01-28,,,,1708.0,,,,,,
2013-01-29,,,,1789.0,,,,,,
2013-01-30,,,,1760.0,,,,,,
2013-01-31,,,,1921.0,,,,,,
2013-02-01,,,,2108.0,,,,,,
2013-02-02,,,,1133.0,,,,,,
2013-02-03,,,,868.0,,,,,,
2013-02-04,,,,2288.0,,,,,,
2013-02-05,,,,2012.0,,,,,,
2013-02-06,,,,1995.0,,,,,,
2013-02-07,,,,2187.0,,,,,,
2013-02-08,,,,2161.0,,,,,,
2013-02-09,,,,1114.0,,,,,,
2013-02-10,,,,1312.0,,,,,,
2013-02-11,,,,2145.0,,,,,,
2013-02-12,,,,2105.0,,,,,,
2013-02-13,,,,2066.0,,,,,,
2013-02-14,,,,1884.0,,,,,,
2013-02-15,,,,2304.0,,,,,,
2013-02-16,,,,1017.0,,,,,,
2013-02-17,,,,869.0,,,,,,
2013-02-18,,,,1481.0,,,,,,
2013-02-19,,,,2586.0,,,,,,
2013-02-20,,,,2217.0,,,,,,
2013-02-21,,,,1891.0,,,,,,
2013-02-22,,,,1360.0,,,,,,
2013-02-23,,,,1126.0,,,,,,
2013-02-24,,,,1122.0,,,,,,
2013-02-25,,,,2086.0,,,,,,
2013-02-26,,,,2497.0,,,,,,
2013-02-27,,,,2334.0,,,,,,
2013-02-28,,,,1759.0,,,,,,
2013-03-01,,,,1845.0,,,,,,
2013-03-02,,,,1233.0,,,,,,
2013-03-03,,,,1690.0,,,,,,
2013-03-04,,,,2791.0,,,,,,
2013-03-05,,,,2398.0,,,,,,
2013-03-06,,,,2041.0,,,,,,
2013-03-07,,,,2150.0,,,,,,
2013-03-08,,,,2739.0,,,,,,
2013-03-09,,,,2430.0,,,,,,
2013-03-10,,,,1046.0,,,,,,
2013-03-11,,,,2250.0,,,,,,
2013-03-12,,,,1980.0,,,,,,
2013-03-13,,,,1894.0,,,,,,
2013-03-14,,,,2202.0,,,,,,
2013-03-15,,,,2355.0,,,,,,
2013-03-16,,,,1063.0,,,,,,
2013-03-17,,,,1295.0,,,,,,
2013-03-18,,,,2381.0,,,,,,
2013-03-19,,,,2312.0,,,,,,
2013-03-20,,,,1507.0,,,,,,
2013-03-21,,,,1924.0,,,,,,
2013-03-22,,,,1862.0,,,,,,
2013-03-23,,,,1752.0,,,,,,
2013-03-24,,,,1385.0,,,,,,
2013-03-25,,,,3159.0,,,,,,
2013-03-26,,,,3015.0,,,,,,
2013-03-27,,,,2617.0,,,,,,
2013-03-28,,,,2706.0,,,,,,
2013-03-29,,,,3207.0,,,,,,
2013-03-30,,,,2497.0,,,,,,
2013-03-31,,,,2363.0,,,,,,
