Date,BGT,Broad,Elliot,Fremont,MTS,NW58,Second,Spokane,Thirty,TwoSix
2012-10-03,,,,13.0,,,,,,
2012-10-03,,,,10.0,,,,,,
2012-10-03,,,,2.0,,,,,,
2012-10-03,,,,5.0,,,,,,
2012-10-03,,,,7.0,,,,,,
2012-10-03,,,,31.0,,,,,,
2012-10-03,,,,155.0,,,,,,
2012-10-03,,,,352.0,,,,,,
2012-10-03,,,,437.0,,,,,,
2012-10-03,,,,276.0,,,,,,
2012-10-03,,,,118.0,,,,,,
2012-10-03,,,,42.0,,,,,,
2012-10-03,,,,76.0,,,,,,
2012-10-03,,,,90.0,,,,,,
2012-10-03,,,,128.0,,,,,,
2012-10-03,,,,164.0,,,,,,
2012-10-03,,,,315.0,,,,,,
2012-10-03,,,,583.0,,,,,,
2012-10-03,,,,380.0,,,,,,
2012-10-03,,,,128.0,,,,,,
2012-10-03,,,,80.0,,,,,,
2012-10-03,,,,63.0,,,,,,
2012-10-03,,,,49.0,,,,,,
2012-10-03,,,,17.0,,,,,,
2012-10-04,,,,18.0,,,,,,
2012-10-04,,,,3.0,,,,,,
2012-10-04,,,,9.0,,,,,,
2012-10-04,,,,3.0,,,,,,
2012-10-04,,,,8.0,,,,,,
2012-10-04,,,,26.0,,,,,,
2012-10-04,,,,142.0,,,,,,
2012-10-04,,,,319.0,,,,,,
2012-10-04,,,,418.0,,,,,,
2012-10-04,,,,241.0,,,,,,
2012-10-04,,,,120.0,,,,,,
2012-10-04,,,,108.0,,,,,,
2012-10-04,,,,104.0,,,,,,
2012-10-04,,,,126.0,,,,,,
2012-10-04,,,,119.0,,,,,,
2012-10-04,,,,147.0,,,,,,
2012-10-04,,,,275.0,,,,,,
2012-10-04,,,,507.0,,,,,,
2012-10-04,,,,378.0,,,,,,
2012-10-04,,,,164.0,,,,,,
2012-10-04,,,,83.0,,,,,,
2012-10-04,,,,70.0,,,,,,
2012-10-04,,,,46.0,,,,,,
2012-10-04,,,,41.0,,,,,,
2012-10-05,,,,11.0,,,,,,
2012-10-05,,,,8.0,,,,,,
2012-10-05,,,,7.0,,,,,,
2012-10-05,,,,4.0,,,,,,
2012-10-05,,,,9.0,,,,,,
2012-10-05,,,,25.0,,,,,,
2012-10-05,,,,105.0,,,,,,
2012-10-05,,,,319.0,,,,,,
2012-10-05,,,,370.0,,,,,,
2012-10-05,,,,212.0,,,,,,
2012-10-05,,,,119.0,,,,,,
2012-10-05,,,,104.0,,,,,,
2012-10-05,,,,101.0,,,,,,
2012-10-05,,,,112.0,,,,,,
2012-10-05,,,,125.0,,,,,,
2012-10-05,,,,164.0,,,,,,
2012-10-05,,,,310.0,,,,,,
2012-10-05,,,,434.0,,,,,,
2012-10-05,,,,316.0,,,,,,
2012-10-05,,,,115.0,,,,,,
2012-10-05,,,,68.0,,,,,,
2012-10-05,,,,42.0,,,,,,
2012-10-05,,,,36.0,,,,,,
2012-10-05,,,,32.0,,,,,,
2012-10-06,,,,15.0,,,,,,
2012-10-06,,,,15.0,,,,,,
2012-10-06,,,,9.0,,,,,,
2012-10-06,,,,3.0,,,,,,
2012-10-06,,,,5.0,,,,,,
2012-10-06,,,,5.0,,,,,,
2012-10-06,,,,27.0,,,,,,
2012-10-06,,,,33.0,,,,,,
2012-10-06,,,,105.0,,,,,,
2012-10-06,,,,114.0,,,,,,
2012-10-06,,,,115.0,,,,,,
2012-10-06,,,,124.0,,,,,,
2012-10-06,,,,164.0,,,,,,
2012-10-06,,,,177.0,,,,,,
2012-10-06,,,,203.0,,,,,,
2012-10-06,,,,211.0,,,,,,
2012-10-06,,,,183.0,,,,,,
2012-10-06,,,,180.0,,,,,,
2012-10-06,,,,96.0,,,,,,
2012-10-06,,,,78.0,,,,,,
2012-10-06,,,,43.0,,,,,,
2012-10-06,,,,33.0,,,,,,
2012-10-06,,,,34.0,,,,,,
2012-10-06,,,,34.0,,,,,,
2012-10-07,,,,11.0,,,,,,
2012-10-07,,,,17.0,,,,,,
2012-10-07,,,,3.0,,,,,,
2012-10-07,,,,6.0,,,,,,
2012-10-07,,,,3.0,,,,,,
2012-10-07,,,,9.0,,,,,,
2012-10-07,,,,17.0,,,,,,
2012-10-07,,,,26.0,,,,,,
2012-10-07,,,,69.0,,,,,,
2012-10-07,,,,103.0,,,,,,
2012-10-07,,,,108.0,,,,,,
2012-10-07,,,,165.0,,,,,,
2012-10-07,,,,191.0,,,,,,
2012-10-07,,,,228.0,,,,,,
2012-10-07,,,,241.0,,,,,,
2012-10-07,,,,231.0,,,,,,
2012-10-07,,,,225.0,,,,,,
2012-10-07,,,,191.0,,,,,,
2012-10-07,,,,113.0,,,,,,
2012-10-07,,,,49.0,,,,,,
2012-10-07,,,,55.0,,,,,,
2012-10-07,,,,47.0,,,,,,
2012-10-07,,,,18.0,,,,,,
2012-10-07,,,,16.0,,,,,,
2012-10-08,,,,9.0,,,,,,
2012-10-08,,,,4.0,,,,,,
2012-10-08,,,,5.0,,,,,,
2012-10-08,,,,5.0,,,,,,
2012-10-08,,,,5.0,,,,,,
2012-10-08,,,,23.0,,,,,,
2012-10-08,,,,137.0,,,,,,
2012-10-08,,,,327.0,,,,,,
2012-10-08,,,,457.0,,,,,,
2012-10-08,,,,278.0,,,,,,
2012-10-08,,,,97.0,,,,,,
2012-10-08,,,,99.0,,,,,,
2012-10-08,,,,108.0,,,,,,
2012-10-08,,,,96.0,,,,,,
2012-10-08,,,,121.0,,,,,,
2012-10-08,,,,167.0,,,,,,
2012-10-08,,,,252.0,,,,,,
2012-10-08,,,,604.0,,,,,,
2012-10-08,,,,365.0,,,,,,
2012-10-08,,,,168.0,,,,,,
2012-10-08,,,,94.0,,,,,,
2012-10-08,,,,63.0,,,,,,
2012-10-08,,,,29.0,,,,,,
2012-10-08,,,,24.0,,,,,,
2012-10-09,,,,12.0,,,,,,
2012-10-09,,,,3.0,,,,,,
2012-10-09,,,,4.0,,,,,,
2012-10-09,,,,8.0,,,,,,
2012-10-09,,,,9.0,,,,,,
2012-10-09,,,,31.0,,,,,,
2012-10-09,,,,153.0,,,,,,
2012-10-09,,,,368.0,,,,,,
2012-10-09,,,,462.0,,,,,,
2012-10-09,,,,275.0,,,,,,
