Date,BGT,Broad,Elliot,Fremont,MTS,NW58,Second,Spokane,Thirty,TwoSix,Sunlight,Weekend,isMay,TempHi,TempAvg,TempLow,DewHigh,DewAvg,DewLow,HumidHi,HumidAvg,HumidLow,PressHigh,PressAvg,PressLow,VisHigh,VisAvg,VisLow,WindAvg,WindLow,WindHigh,Precip,Events,Holiday,BusinessDay,WeekNumber,Friday
2012-10-03,1412.283042,397.4414673,1450.259125,3521,826.15144,321.8302642,864.0802246,1023.564658,284.693527,274.2237659,11.27735924,FALSE,FALSE,66,55,46,42,37,32,77,52,29,30.39,30.33,30.28,10,10,10,10,3,17,0,,FALSE,TRUE,0,FALSE
2012-10-04,1393.832312,392.2491051,1431.312258,3475,815.358209,317.6257223,852.7914742,1010.192328,280.9741569,270.6411776,11.21914159,FALSE,FALSE,64,56,48,41,39,34,74,54,35,30.3,30.27,30.24,10,10,10,10,4,16,0,,FALSE,TRUE,0,FALSE
2012-10-05,1262.671689,355.3381821,1296.624745,3148,738.6324149,287.7369133,772.5431829,915.1325034,254.5342866,245.1736481,11.16103751,FALSE,FALSE,70,58,48,43,37,33,80,52,27,30.3,30.25,30.2,10,10,10,13,2,16,0,,FALSE,TRUE,0,FALSE
2012-10-06,804.6122642,226.4321453,826.2481695,2006,470.6787244,183.3545896,492.2876827,583.1498735,162.1968802,156.2320007,11.10305648,TRUE,FALSE,71,58,44,42,36,26,82,49,19,30.24,30.18,30.11,10,10,10,9,2,16,0,,FALSE,FALSE,0,FALSE
2012-10-07,859.1622482,241.7834771,882.2649946,2142,502.5891464,195.7854093,525.6631188,622.6854581,173.1932789,166.8240007,11.0452082,TRUE,FALSE,72,58,46,44,42,38,83,59,31,30.1,30.02,29.93,10,10,10,8,1,0,0,,FALSE,FALSE,0,FALSE
2012-10-08,1418.700687,399.2475064,1456.84934,3537,829.9056072,323.2927136,868.0067465,1028.215904,285.987221,275.4698835,10.98750259,FALSE,FALSE,71,56,42,47,43,39,89,63,35,30.05,29.96,29.93,10,10,10,7,3,0,0,,TRUE,FALSE,0,FALSE
2012-10-09,1404.260986,395.1839185,1442.021357,3501,821.4587308,320.0022025,859.1720723,1017.750602,283.0764095,272.6661188,10.9299498,FALSE,FALSE,60,54,50,48,47,46,89,78,62,30.14,30.08,30.04,10,9,6,9,5,21,0,,FALSE,TRUE,0,FALSE
2012-10-10,1297.567634,365.1585194,1332.459037,3235,759.0456996,295.6889818,793.8936458,940.4236494,261.5687475,251.9494128,10.87256024,FALSE,FALSE,55,52,48,48,47,46,93,84,74,30.05,30.02,29.99,10,5,2,6,1,0,0,,FALSE,TRUE,1,FALSE
2012-10-11,1222.160304,343.9375606,1255.024014,3047,714.9342339,278.5052017,747.7570135,885.7715177,246.3678434,237.3075304,10.81534455,FALSE,FALSE,55,52,46,46,46,44,90,81,69,30,29.92,29.81,10,7,5,7,1,0,0,,FALSE,TRUE,1,FALSE
2012-10-12,806.6177783,226.9965325,828.3076116,2011,471.8519017,183.811605,493.5147207,584.6033876,162.6011596,156.6214124,10.75831368,FALSE,FALSE,57,52,46,51,48,45,94,85,72,29.99,29.9,29.83,10,7,2,13,7,21,0.09,Rain,FALSE,TRUE,1,FALSE
2012-10-13,307.2447629,86.46411928,315.5065293,766,179.7307592,70.01476353,187.9822357,222.6783665,61.93559832,59.65788261,10.70147882,TRUE,FALSE,62,58,55,57,54,50,94,86,78,30.14,30.1,30.02,10,10,4,16,9,23,0.09,Rain,FALSE,FALSE,1,FALSE
2012-10-14,279.9697709,78.78845333,287.4981168,698,163.7755482,63.79935372,171.2945177,202.9105741,56.43739899,54.36188259,10.6448515,TRUE,FALSE,64,60,57,59,57,55,96,89,73,30.11,29.96,29.88,10,7,2,12,6,16,0.52,Rain,FALSE,FALSE,1,FALSE
2012-10-15,911.7067181,256.5704218,936.2223775,2273,533.3263911,207.7592135,557.8115168,660.7675287,183.7853981,177.026589,10.58844352,FALSE,FALSE,63,58,54,60,55,50,96,86,72,29.96,29.78,29.55,10,8,2,14,6,23,0.22,Rain,FALSE,TRUE,1,FALSE
2012-10-16,1217.748173,342.6959088,1250.493242,3036,712.3532439,277.4997677,745.0575297,882.5737866,245.4784288,236.4508245,10.53226702,FALSE,FALSE,63,56,48,52,45,42,83,69,50,30.28,29.99,29.58,10,10,10,15,10,29,0,,FALSE,TRUE,1,FALSE
2012-10-17,1300.776457,366.0615389,1335.754144,3243,760.9227832,296.4202065,795.8569067,942.7492721,262.2155944,252.5724717,10.47633446,FALSE,FALSE,59,50,43,44,42,40,90,74,55,30.33,30.27,30.21,10,10,10,8,1,0,0,,FALSE,TRUE,2,FALSE
2012-10-18,1172.423553,329.940758,1203.94985,2923,685.8394374,267.1712191,717.3264688,849.724367,236.3417153,227.6501186,10.42065864,FALSE,FALSE,64,55,46,52,45,39,100,74,39,30.21,29.98,29.82,10,8,2,13,4,18,0.64,Rain,FALSE,TRUE,2,FALSE
2012-10-19,792.9802823,223.1586995,814.3034054,1977,463.8742962,180.7039001,485.1708617,574.7194915,159.8520599,153.9734124,10.3652527,FALSE,FALSE,60,54,48,55,51,43,94,84,67,29.83,29.79,29.76,10,8,3,16,11,24,0.1,Rain,FALSE,TRUE,2,FALSE
2012-10-20,428.3778156,120.5531062,439.896832,1068,250.5906668,97.61849537,262.0953365,310.4706206,86.35407181,83.1783533,10.31013014,TRUE,FALSE,52,47,43,44,39,37,86,74,59,29.9,29.86,29.81,10,10,4,14,8,24,0.18,"Rain , Thunderstorm",FALSE,FALSE,2,FALSE
2012-10-21,396.6906926,111.6357885,407.3576469,989,232.0544658,90.39765161,242.7081347,287.5050972,79.96645788,77.02564739,10.25530485,TRUE,FALSE,54,46,41,41,39,37,96,80,57,29.89,29.85,29.78,10,10,6,9,5,0,0.14,Rain,FALSE,FALSE,2,FALSE
2012-10-22,853.9479115,240.3160704,876.9104451,2129,499.5388854,194.5971691,522.4728197,618.9063214,172.1421525,165.8115301,10.20079104,FALSE,FALSE,46,42,39,43,40,36,97,87,71,29.76,29.63,29.57,10,9,4,10,2,16,0.26,Rain,FALSE,TRUE,2,FALSE
2012-10-23,1002.757059,282.1936008,1029.721049,2500,586.5886396,228.5077139,613.5190462,726.7570707,202.1396812,194.7058832,10.14660335,FALSE,FALSE,53,47,42,41,39,38,89,75,59,29.88,29.81,29.67,10,10,10,10,6,0,0,Rain,FALSE,TRUE,2,FALSE
